Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (kgf/W),Overall Efficiency (kgf/W),Vibration (g),App message,
0.43912150000014805,1000,,,,0.00087890625,0.05419921875,-0.97197265625,-0.04296106183982196,-0.10395131668260316,24.520239120119893,-4.4638797301869735,0,0,109.45539869127717,0,0,0,0,0.05859375,,
0.40818450000032314,1045,,,,0.00458984375,0.05048828125,-0.97138671875,-0.04303050506602894,-0.10618706412781886,24.520041089519747,-4.464823210502069,0,0,109.47764868367838,0,0,0,0,0.05859375,,
6.6058882500003095,1090,,,,0,0.05546875,-0.97109375,-0.04292214464258022,-0.10328091088369104,24.51917319586374,-4.4670708877296414,0,0,109.52888297736686,0,0,0,0,0.05859375,,
12.63968200000031,1135,,,,0.02001953125,0.0185546875,-0.9923828125,-0.08560170295399863,-0.23465121095212377,24.501185463135606,-3.8248893401002797,0,0,93.71432628194846,0,0,0,0,0.64365234375,,
18.507900750000243,1180,,,,0.0359375,0.1119140625,-0.97099609375,-0.12082326829339216,-0.3512183453472543,24.483123896924972,-3.259189887744024,0,0,79.79514959197313,0,0,0,0,0.51142578125,,
24.581217250000268,1225,,,,0.0171875,0.02119140625,-0.98857421875,-0.16087666343721505,-0.5204933011002193,24.455481260188925,-2.4626562729779793,0,0,60.22544416777104,0,0,0,0,0.53330078125,,
30.708433500000325,1270,,,,0.02109375,0.01083984375,-1.008203125,-0.21684258755642424,-0.7125678242085228,24.413080074672404,-1.3010782018065208,0,0,31.76332959034504,0,0,0,0,0.58232421875,,
36.73510700000028,1315,,,,-0.06904296875,0.146484375,-0.9640625,-0.27421141565771456,-0.9190282681256117,24.36109408457282,0.22366640831288173,0,0,5.448754284004086,0,0,0,0,0.8958984375,,
42.86304025000031,1360,,,,0.03271484375,-0.00419921875,-1.0029296875,-0.35057610756912755,-1.1905046328983635,24.291654432308142,2.2175271883757586,0,0,53.86736713938823,0,0,0,0,1.1818359375,,
49.057524000000285,1405,,,,-0.03193359375,0.048828125,-1.0001953125,-0.4488438988745833,-1.526721181965878,24.19939299345962,4.979478016956515,0,0,120.50025654035741,0,0,0,0,1.42421875,,
55.023533500000234,1450,,,,0.03662109375,-0.024609375,-1.02294921875,-0.5201574437680387,-1.760960041099473,24.096614308337408,7.714917573351661,0,0,185.9033736658153,0,0,0,0,1.92275390625,,
61.103213250000366,1495,,,,-0.0060546875,0.007421875,-0.99453125,-0.6199895055210671,-2.0757305434407876,23.966313450074615,11.304323740936674,0,0,270.9229647694985,0,0,0,0,2.06162109375,,
67.13715650000024,1540,,,,-0.05849609375,0.0484375,-0.99189453125,-0.7195847150035617,-2.408280712023574,23.81452406591503,15.252478831330986,0,0,363.23046827699136,0,0,0,0,1.97734375,,
73.25358700000024,1585,,,,-0.01591796875,0.07333984375,-0.95341796875,-0.8111531662870897,-2.6881088877089176,23.659023261949777,19.317883076371093,0,0,457.04223035928925,0,0,0,0,1.829296875,,
79.28266200000029,1630,,,,-0.0421875,0.03544921875,-0.97802734375,-0.9141844398554181,-3.010296923571972,23.447304874280796,24.08445029502282,0,0,564.7154512185791,0,0,0,0,1.8166015625,,
85.26428075000038,1675,,,,-0.01845703125,0.0578125,-0.3462890625,-0.9946222456040477,-3.2649441584016614,23.254862282318847,28.49127169121268,0,0,662.5603558541909,0,0,0,0,1.88193359375,,
91.3182607500003,1720,,,,0.00634765625,0.00595703125,-0.32548828125,-1.096828199765777,-3.5544314575373024,23.045725660576984,34.10713596685626,0,0,786.0225517434542,0,0,0,0,1.6197265625,,
97.53509150000028,1765,,,,-0.15390625,-0.07265625,-0.6458984375,-1.1862698158640672,-3.857031346748051,22.836589652373828,39.750536494167356,0,0,907.7663278305963,0,0,0,0,1.87177734375,,
103.5500077500003,1810,,,,0,-0.0091796875,-0.675390625,-1.2600925836036725,-4.050991172451023,22.668202389414173,44.79210245326367,0,0,1015.3558970911341,0,0,0,0,1.75361328125,,
109.59116000000037,1855,,,,-0.01982421875,-0.08056640625,-0.55830078125,-1.3183793216035726,-4.228148992289663,22.517598986082806,49.13149625103044,0,0,1106.323289884139,0,0,0,0,1.69599609375,,
115.63538275000028,1900,,,,0.00791015625,-0.01796875,-0.58583984375,-1.3198159555737925,-4.22467851542274,22.476898402048484,49.18886627449993,0,0,1105.6126886013699,0,0,0,0,1.605859375,,
121.6874892500002,1900,,,,-0.00244140625,-0.00322265625,-0.6265625,-1.3169014331587245,-4.23902233813198,22.433984013895593,49.24832410714835,0,0,1104.835733065617,0,0,0,0,1.80673828125,,
127.8776720000003,1855,,,,0.02607421875,-0.01943359375,-0.44931640625,-1.322126312112291,-4.252374643094119,22.394103198545906,49.36624646110987,0,0,1105.5129979426947,0,0,0,0,1.84501953125,,
134.04171200000022,1810,,,,-0.01357421875,0.05126953125,-0.758203125,-1.2397999724491995,-4.009075485948178,22.477684981010476,44.05587999322639,0,0,990.2741352525169,0,0,0,0,1.7759765625,,
140.0585497500004,1765,,,,-0.053515625,0.18447265625,-0.7869140625,-1.1544919087563952,-3.7485180445381574,22.60188312267583,38.81034397493691,0,0,877.1876912285015,0,0,0,0,1.61943359375,,
